zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT
AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY
BURGLARY,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,ROBBERY,AGG ASSAULT,AGG ASSAULT
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
ROBBERY,BURGLARY,AGG ASSAULT,ROBBERY,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,HOMICIDE,BURGLARY
BURGLARY,BURGLARY,ROBBERY,ROBBERY,BURGLARY,BURGLARY
AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,ROBBERY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,AUTO THEFT
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,ROBBERY,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,AGG ASSAULT
BURGLARY,BURGLARY,BURGLARY,ROBBERY,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY
ROBBERY,BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,ROBBERY,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
ROBBERY,BURGLARY,AUTO THEFT,ROBBERY,LARCENY-NON VEHICLE,AGG ASSAULT
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
BURGLARY,BURGLARY,AUTO THEFT,ROBBERY,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
ROBBERY,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,HOMICIDE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,ROBBERY,BURGLARY
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,AGG ASSAULT
LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
ROBBERY,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
BURGLARY,BURGLARY,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,BURGLARY
AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT
AUTO THEFT,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,BURGLARY
AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
AUTO THEFT,BURGLARY,AUTO THEFT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,HOMICIDE,BURGLARY
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,BURGLARY,BURGLARY,AGG ASSAULT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,ROBBERY,BURGLARY
AUTO THEFT,BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,BURGLARY
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
AGG ASSAULT,BURGLARY,AUTO THEFT,AGG ASSAULT,BURGLARY,BURGLARY
