UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,191500654,05/30/2019,765 MCDANIEL ST SW,302,Pittsburgh,V,33.733650,-84.402210,
LARCENY-FROM VEHICLE,191501381,05/30/2019,1654 S ALVARADO TER SW @APS TUSKEGEE,404,Cascade Avenue/Road,S,33.731110,-84.441250,
LARCENY-FROM VEHICLE,191501413,05/30/2019,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.849110,-84.370750,
LARCENY-NON VEHICLE,191502505,05/30/2019,1630 JONESBORO RD SE,307,Lakewood Heights,Y,33.707220,-84.379760,
LARCENY-NON VEHICLE,191500849,05/30/2019,3050 MARTIN LUTHER KING JR DRIVE SW,405,Harland Terrace,I,33.751770,-84.485700,
LARCENY-NON VEHICLE,191500926,05/30/2019,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.819500,-84.351990,
LARCENY-NON VEHICLE,191501374,05/30/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.793030,-84.399210,
LARCENY-NON VEHICLE,191501744,05/30/2019,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.824030,-84.363280,
LARCENY-NON VEHICLE,191501399,05/30/2019,1796 DELOWE DR SW,410,Campbellton Road,R,33.705830,-84.457160,
LARCENY-NON VEHICLE,191501095,05/30/2019,230 18TH ST NW,501,Atlantic Station,E,33.791610,-84.398100,
LARCENY-NON VEHICLE,191501248,05/30/2019,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.846760,-84.362120,
LARCENY-NON VEHICLE,191501138,05/30/2019,680 PONCE DE LEON AVE NE,614,Midtown,E,33.774060,-84.365280,
LARCENY-NON VEHICLE,191501134,05/30/2019,1176 CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.800580,-84.425610,
LARCENY-NON VEHICLE,191500992,05/30/2019,261 19TH ST NW,501,Atlantic Station,E,33.793710,-84.396770,
LARCENY-NON VEHICLE,191500186,05/30/2019,120 MARIETTA ST NW @GLENN BUILDING,507,Downtown,M,33.757130,-84.392940,
BURGLARY,191502031,05/30/2019,2520 JONESBORO RD SE,308,Leila Valley,Z,33.684630,-84.364810,
BURGLARY,191501995,05/30/2019,379 ANDREW J HAIRSTON PL NW,506,English Avenue,L,33.765050,-84.413590,
BURGLARY,191500355,05/30/2019,2100 SPINK ST NW,103,Riverside,D,33.808160,-84.464730,
BURGLARY,191500711,05/30/2019,2407 ANTWERP DR SE,310,Browns Mill Park,Z,33.688760,-84.385380,
BURGLARY,191500021,05/30/2019,717 LEE ST SW,401,West End,T,33.735160,-84.414210,
BURGLARY,191501348,05/30/2019,214 ADAIR AVE SE,307,Lakewood Heights,Y,33.706420,-84.381070,
AGG ASSAULT,191501016,05/30/2019,1012 WESTMOOR DR NW,105,Washington Park,K,33.759320,-84.420890,
AGG ASSAULT,191500253,05/30/2019,2770 CRESCENDO DR NW,112,Collier Heights,I,33.774060,-84.478180,
AGG ASSAULT,191500969,05/30/2019,2967 METROPOLITAN PKWY SW,311,Hammond Park,X,33.674210,-84.408890,
AGG ASSAULT,191501729,05/30/2019,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.701100,-84.466310,
AGG ASSAULT,191500138,05/30/2019,1100 FOREST VALLEY DR SE,313,South River Gardens,Z,33.649790,-84.355480,
AGG ASSAULT,191501774,05/30/2019,1500 MCLENDON AVE NE @CANDLER CITY PARK,608,Candler Park,N,33.764970,-84.338270,
AGG ASSAULT,191502217,05/30/2019,493 WILLARD AVE SW,404,Westview,T,33.741600,-84.436920,
ROBBERY,191502088,05/30/2019,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.701100,-84.466310,
ROBBERY,191502141,05/30/2019,687 CASCADE AVE SW,403,Westview,T,33.736820,-84.436470,
ROBBERY,191500051,05/30/2019,641 NORTH AVE NE,603,Old Fourth Ward,M,33.771030,-84.366180,
ROBBERY,191491867,05/29/2019,608 14TH ST NW,501,Home Park,E,33.785780,-84.407070,
ROBBERY,191490976,05/29/2019,102 OLLIE ST NW @WASHINGTON PARK,105,Washington Park,K,33.757990,-84.422870,
ROBBERY,191490733,05/29/2019,1058 LENA ST NW,105,Washington Park,K,33.757990,-84.422870,
ROBBERY,191491503,05/29/2019,1739  MARTIN L KING JR DR NW,104,Mozley Park,K,33.751030,-84.444120,
AGG ASSAULT,191492373,05/29/2019,349 CLEVELAND AVE SW,309,Perkerson,X,33.681230,-84.401090,
AGG ASSAULT,191482656,05/29/2019,2909 CAMPBELLTON RD SW @CASCADE PINES APTS,409,Southwest,R,33.698720,-84.484180,
AGG ASSAULT,191490273,05/29/2019,3195 KINGSTON RD NW,112,Collier Heights,I,33.779890,-84.492210,
AGG ASSAULT,191491630,05/29/2019,1981 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.764860,-84.451740,
AGG ASSAULT,191482457,05/29/2019,93 ALLEN TEMPLE CT NW,111,,I,33.752870,-84.491020,
BURGLARY,191491651,05/29/2019,1771 FORT VALLEY DR SW,410,Pomona Park,R,33.706650,-84.450800,
BURGLARY,191491543,05/29/2019,500 NORTHSIDE CIR NW,207,Loring Heights,E,33.797240,-84.406680,
BURGLARY,191491040,05/29/2019,526 CENTENNIAL OLYMPIC P DR NW,504,Downtown,M,33.768700,-84.392390,
BURGLARY,191491629,05/29/2019,361 PHARR RD NE,206,Garden Hills,B,33.836600,-84.375540,
BURGLARY,191491330,05/29/2019,4741 EDWINA LN SW,412,Greenbriar Village,P,33.703790,-84.541990,
BURGLARY,191492050,05/29/2019,910 WASHINGTON ST,304,Peoplestown,V,33.729920,-84.390630,
BURGLARY,191492043,05/29/2019,1779 MADRONA ST NW,107,Grove Park,J,33.770740,-84.445120,
BURGLARY,191491928,05/29/2019,836 WESTMONT RD SW,402,Oakland City,S,33.732430,-84.437150,
BURGLARY,191490589,05/29/2019,1929 NORTH AVE NW,107,Grove Park,J,33.768710,-84.450600,
BURGLARY,191490914,05/29/2019,17 TURMAN AVE SE,305,South Atlanta,Y,33.708660,-84.381900,
BURGLARY,191491009,05/29/2019,1676 ROGERS AVE SW,404,Westview,T,33.737090,-84.442510,
BURGLARY,191490195,05/29/2019,193 MOURY AVE SW,305,The Villages at Carver,Y,33.715490,-84.391970,
BURGLARY,191491773,05/29/2019,2959 1ST AVE SW,311,Hammond Park,X,33.674470,-84.401630,
BURGLARY,191491568,05/29/2019,361 PHARR RD NE,206,Garden Hills,B,33.836600,-84.375540,
BURGLARY,191490875,05/29/2019,1341 METROPOLITAN PKWY SW,301,Capitol View,X,33.718050,-84.408090,
BURGLARY,191490857,05/29/2019,2625 MARTIN L KING JR DR NW,111,Harland Terrace,I,33.754070,-84.473540,
BURGLARY,191490808,05/29/2019,327 MEMORIAL DR SE,605,Grant Park,W,33.746560,-84.376790,
BURGLARY,191490388,05/29/2019,111 PEACHTREE ST SW,512,Downtown,M,33.751650,-84.392590,
BURGLARY,191491065,05/29/2019,949 HILL ST SE,304,Peoplestown,V,33.728560,-84.378780,
BURGLARY,191491317,05/29/2019,127 MEADOW PARK LN SW,310,Browns Mill Park,Z,33.689120,-84.392930,
BURGLARY,191490076,05/29/2019,855 W PEACHTREE ST NE,505,Midtown,E,33.777730,-84.387180,
BURGLARY,191492006,05/29/2019,3200 SPREADING OAK DR SW,406,East Ardley Road,I,33.730630,-84.492670,
BURGLARY,191491457,05/29/2019,2280 CAMPBELLTON RD SW,410,Campbellton Road,R,33.704730,-84.462300,
BURGLARY,191490668,05/29/2019,2545 JONESBORO RD SE,310,Browns Mill Park,Z,33.684640,-84.366800,
BURGLARY,191490911,05/29/2019,1690 MARTIN L KING JR DR SW,104,Mozley Park,K,33.751430,-84.442250,
LARCENY-NON VEHICLE,191492146,05/29/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.756740,-84.346190,
LARCENY-NON VEHICLE,191490989,05/29/2019,439 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.761010,-84.373450,
LARCENY-NON VEHICLE,191490987,05/29/2019,3885 JONESBORO RD SE @HOME DEPOT,313,South River Gardens,Z,33.648830,-84.365840,
LARCENY-NON VEHICLE,191490969,05/29/2019,3509 MARTIN L KING JR DR NW,111,Adamsville,H,33.758100,-84.502580,
LARCENY-NON VEHICLE,191490567,05/29/2019,13 DECATUR ST SE,511,Downtown,M,33.754030,-84.389470,
LARCENY-FROM VEHICLE,191491639,05/29/2019,327 PETERS ST SW,507,Castleberry Hill,M,33.745860,-84.403820,
LARCENY-FROM VEHICLE,191490500,05/29/2019,861 ARLINGTON PL NE,601,Virginia Highland,F,33.778120,-84.351210,
LARCENY-FROM VEHICLE,191490417,05/29/2019,1103 LANIER BLVD NE,601,Virginia Highland,F,33.784400,-84.350940,
