County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
"Falls Church city, VA",11/19/2020,"8,748","8,593",155,1.8
"Franklin city, VA",11/19/2020,"3,597","3,460",137,3.8
"Fredericksburg city, VA",11/19/2020,"14,359","13,945",414,2.9
"Galax city, VA",11/19/2020,"2,917","2,830",87,3
"Hampton city, VA",11/19/2020,"64,402","62,265","2,137",3.3
"Harrisonburg city, VA",11/19/2020,"25,446","24,769",677,2.7
"Hopewell city, VA",11/19/2020,"9,810","9,431",379,3.9
"Lexington city, VA",11/19/2020,"2,108","2,022",86,4.1
"Lynchburg city, VA",11/19/2020,"36,552","35,386","1,166",3.2
"Manassas city, VA",11/19/2020,"22,409","21,931",478,2.1
"Manassas Park city, VA",11/19/2020,"9,534","9,335",199,2.1
"Martinsville city, VA",11/19/2020,"5,487","5,281",206,3.8
"Newport News city, VA",11/19/2020,"88,843","86,165","2,678",3
"Norfolk city, VA",11/19/2020,"111,683","108,303","3,380",3
"Norton city, VA",11/19/2020,"1,688","1,633",55,3.3
"Petersburg city, VA",11/19/2020,"13,171","12,520",651,4.9
"Poquoson city, VA",11/19/2020,"6,418","6,281",137,2.1
"Portsmouth city, VA",11/19/2020,"44,329","42,766","1,563",3.5
"Radford city, VA",11/19/2020,"8,738","8,474",264,3
"Richmond city, VA",11/19/2020,"120,010","116,548","3,462",2.9
"Roanoke city, VA",11/19/2020,"49,378","48,046","1,332",2.7
"Salem city, VA",11/19/2020,"13,027","12,707",320,2.5
"Staunton city, VA",11/19/2020,"12,367","12,085",282,2.3
"Suffolk city, VA",11/19/2020,"44,706","43,508","1,198",2.7
"Virginia Beach city, VA",11/19/2020,"233,715","228,046","5,669",2.4
"Waynesboro city, VA",11/19/2020,"10,798","10,530",268,2.5
"Williamsburg city, VA",11/19/2020,"6,685","6,467",218,3.3
"Winchester city, VA",11/19/2020,"15,051","14,687",364,2.4
"Adams County, WA",11/19/2020,"9,257","8,748",509,5.5
"Asotin County, WA",11/19/2020,"10,682","10,291",391,3.7
"Benton County, WA",11/19/2020,"103,890","99,040","4,850",4.7
"Chelan County, WA",11/19/2020,"43,665","41,648","2,017",4.6
"Clallam County, WA",11/19/2020,"29,296","27,577","1,719",5.9
"Clark County, WA",11/19/2020,"246,005","235,364","10,641",4.3
"Columbia County, WA",11/19/2020,"1,878","1,778",100,5.3
"Cowlitz County, WA",11/19/2020,"48,596","45,978","2,618",5.4
"Douglas County, WA",11/19/2020,"21,483","20,336","1,147",5.3
"Ferry County, WA",11/19/2020,"2,430","2,188",242,10
"Franklin County, WA",11/19/2020,"42,399","39,964","2,435",5.7
"Garfield County, WA",11/19/2020,927,874,53,5.7
"Grant County, WA",11/19/2020,"45,380","42,446","2,934",6.5
"Grays Harbor County, WA",11/19/2020,"29,213","27,290","1,923",6.6
"Island County, WA",11/19/2020,"37,238","35,577","1,661",4.5
"Jefferson County, WA",11/19/2020,"13,339","12,658",681,5.1
"King County, WA",11/19/2020,"1,298,436","1,265,360","33,076",2.5
"Kitsap County, WA",11/19/2020,"131,624","126,391","5,233",4
"Kittitas County, WA",11/19/2020,"24,220","23,088","1,132",4.7
"Klickitat County, WA",11/19/2020,"10,027","9,514",513,5.1
"Lewis County, WA",11/19/2020,"35,428","33,422","2,006",5.7
"Lincoln County, WA",11/19/2020,"4,992","4,768",224,4.5
"Mason County, WA",11/19/2020,"26,705","25,248","1,457",5.5
"Okanogan County, WA",11/19/2020,"19,224","17,978","1,246",6.5
"Pacific County, WA",11/19/2020,"8,556","7,977",579,6.8
"Pend Oreille County, WA",11/19/2020,"5,171","4,791",380,7.3
"Pierce County, WA",11/19/2020,"449,788","428,706","21,082",4.7
"San Juan County, WA",11/19/2020,"8,533","8,235",298,3.5
"Skagit County, WA",11/19/2020,"63,525","60,306","3,219",5.1
"Skamania County, WA",11/19/2020,"5,622","5,349",273,4.9
"Snohomish County, WA",11/19/2020,"441,899","429,513","12,386",2.8
"Spokane County, WA",11/19/2020,"259,520","247,834","11,686",4.5
"Stevens County, WA",11/19/2020,"19,276","18,141","1,135",5.9
"Thurston County, WA",11/19/2020,"146,356","139,933","6,423",4.4
"Wahkiakum County, WA",11/19/2020,"1,384","1,296",88,6.4
"Walla Walla County, WA",11/19/2020,"31,486","30,193","1,293",4.1
"Whatcom County, WA",11/19/2020,"116,639","111,274","5,365",4.6
"Whitman County, WA",11/19/2020,"24,734","23,794",940,3.8
"Yakima County, WA",11/19/2020,"129,158","120,859","8,299",6.4
"Barbour County, WV",11/19/2020,"7,378","6,968",410,5.6
"Berkeley County, WV",11/19/2020,"60,227","58,436","1,791",3
"Boone County, WV",11/19/2020,"7,457","7,032",425,5.7
"Braxton County, WV",11/19/2020,"5,257","4,830",427,8.1
"Brooke County, WV",11/19/2020,"10,050","9,503",547,5.4
"Cabell County, WV",11/19/2020,"41,918","40,337","1,581",3.8
"Calhoun County, WV",11/19/2020,"2,612","2,226",386,14.8
"Clay County, WV",11/19/2020,"3,166","2,867",299,9.4
"Doddridge County, WV",11/19/2020,"4,041","3,848",193,4.8
"Fayette County, WV",11/19/2020,"16,255","15,293",962,5.9
"Gilmer County, WV",11/19/2020,"2,471","2,289",182,7.4
"Grant County, WV",11/19/2020,"5,920","5,598",322,5.4
"Greenbrier County, WV",11/19/2020,"15,657","14,981",676,4.3
"Hampshire County, WV",11/19/2020,"10,762","10,409",353,3.3
"Hancock County, WV",11/19/2020,"13,138","12,467",671,5.1
"Hardy County, WV",11/19/2020,"5,728","5,468",260,4.5
"Harrison County, WV",11/19/2020,"34,965","33,372","1,593",4.6
"Jackson County, WV",11/19/2020,"13,367","12,685",682,5.1
"Jefferson County, WV",11/19/2020,"30,376","29,541",835,2.7
"Kanawha County, WV",11/19/2020,"82,202","78,614","3,588",4.4
"Lewis County, WV",11/19/2020,"6,735","6,243",492,7.3
"Lincoln County, WV",11/19/2020,"7,296","6,838",458,6.3
"Logan County, WV",11/19/2020,"11,303","10,591",712,6.3
"McDowell County, WV",11/19/2020,"4,471","4,091",380,8.5
"Marion County, WV",11/19/2020,"25,924","24,631","1,293",5
"Marshall County, WV",11/19/2020,"14,433","13,534",899,6.2
"Mason County, WV",11/19/2020,"10,277","9,728",549,5.3
"Mercer County, WV",11/19/2020,"21,359","20,261","1,098",5.1
"Mineral County, WV",11/19/2020,"12,722","11,994",728,5.7
"Mingo County, WV",11/19/2020,"6,998","6,466",532,7.6
"Monongalia County, WV",11/19/2020,"55,862","54,023","1,839",3.3
"Monroe County, WV",11/19/2020,"5,917","5,676",241,4.1
"Morgan County, WV",11/19/2020,"8,160","7,879",281,3.4
"Nicholas County, WV",11/19/2020,"9,622","8,955",667,6.9
"Ohio County, WV",11/19/2020,"21,688","20,671","1,017",4.7
"Pendleton County, WV",11/19/2020,"3,693","3,560",133,3.6
"Pleasants County, WV",11/19/2020,"2,963","2,747",216,7.3
"Pocahontas County, WV",11/19/2020,"3,670","3,403",267,7.3
"Preston County, WV",11/19/2020,"15,811","15,129",682,4.3
"Putnam County, WV",11/19/2020,"26,930","25,889","1,041",3.9
"Raleigh County, WV",11/19/2020,"30,355","28,978","1,377",4.5
"Randolph County, WV",11/19/2020,"12,367","11,628",739,6
"Ritchie County, WV",11/19/2020,"4,408","4,133",275,6.2
"Roane County, WV",11/19/2020,"5,230","4,705",525,10
"Summers County, WV",11/19/2020,"4,316","4,085",231,5.4
"Taylor County, WV",11/19/2020,"8,015","7,635",380,4.7
"Tucker County, WV",11/19/2020,"3,348","3,183",165,4.9
"Tyler County, WV",11/19/2020,"3,107","2,880",227,7.3
"Upshur County, WV",11/19/2020,"9,593","9,012",581,6.1
"Wayne County, WV",11/19/2020,"15,945","15,152",793,5
"Webster County, WV",11/19/2020,"3,319","3,084",235,7.1
"Wetzel County, WV",11/19/2020,"6,738","6,230",508,7.5
"Wirt County, WV",11/19/2020,"2,317","2,127",190,8.2
"Wood County, WV",11/19/2020,"37,149","35,335","1,814",4.9
"Wyoming County, WV",11/19/2020,"6,697","6,257",440,6.6
"Adams County, WI",11/19/2020,"8,053","7,681",372,4.6
"Ashland County, WI",11/19/2020,"7,815","7,491",324,4.1
"Barron County, WI",11/19/2020,"24,097","23,289",808,3.4
"Bayfield County, WI",11/19/2020,"7,539","7,164",375,5
"Brown County, WI",11/19/2020,"141,948","138,000","3,948",2.8
"Buffalo County, WI",11/19/2020,"6,388","6,148",240,3.8
"Burnett County, WI",11/19/2020,"7,032","6,716",316,4.5
"Calumet County, WI",11/19/2020,"27,408","26,703",705,2.6
"Chippewa County, WI",11/19/2020,"33,143","32,108","1,035",3.1
"Clark County, WI",11/19/2020,"17,497","17,030",467,2.7
"Columbia County, WI",11/19/2020,"31,824","30,961",863,2.7
"Crawford County, WI",11/19/2020,"7,587","7,313",274,3.6
"Dane County, WI",11/19/2020,"325,396","318,319","7,077",2.2
"Dodge County, WI",11/19/2020,"47,187","45,865","1,322",2.8
"Door County, WI",11/19/2020,"14,544","14,071",473,3.3
"Douglas County, WI",11/19/2020,"23,035","22,141",894,3.9
"Dunn County, WI",11/19/2020,"24,575","23,889",686,2.8
"Eau Claire County, WI",11/19/2020,"58,970","57,470","1,500",2.5
"Florence County, WI",11/19/2020,"2,206","2,090",116,5.3
"Fond du Lac County, WI",11/19/2020,"57,087","55,652","1,435",2.5
"Forest County, WI",11/19/2020,"3,963","3,795",168,4.2
"Grant County, WI",11/19/2020,"28,208","27,417",791,2.8
"Green County, WI",11/19/2020,"21,175","20,664",511,2.4
"Green Lake County, WI",11/19/2020,"9,220","8,904",316,3.4
"Iowa County, WI",11/19/2020,"13,790","13,474",316,2.3
"Iron County, WI",11/19/2020,"2,530","2,389",141,5.6
"Jackson County, WI",11/19/2020,"10,124","9,781",343,3.4
"Jefferson County, WI",11/19/2020,"45,680","44,447","1,233",2.7
"Juneau County, WI",11/19/2020,"13,240","12,868",372,2.8
"Kenosha County, WI",11/19/2020,"88,679","85,411","3,268",3.7
"Kewaunee County, WI",11/19/2020,"10,981","10,688",293,2.7
"La Crosse County, WI",11/19/2020,"66,803","65,191","1,612",2.4
"Lafayette County, WI",11/19/2020,"10,049","9,843",206,2
"Langlade County, WI",11/19/2020,"9,162","8,836",326,3.6
"Lincoln County, WI",11/19/2020,"15,041","14,544",497,3.3
"Manitowoc County, WI",11/19/2020,"40,716","39,342","1,374",3.4
"Marathon County, WI",11/19/2020,"73,448","71,594","1,854",2.5
"Marinette County, WI",11/19/2020,"19,350","18,534",816,4.2
"Marquette County, WI",11/19/2020,"7,718","7,449",269,3.5
"Menominee County, WI",11/19/2020,"1,594","1,476",118,7.4
"Milwaukee County, WI",11/19/2020,"467,037","449,360","17,677",3.8
"Monroe County, WI",11/19/2020,"23,134","22,545",589,2.5
"Oconto County, WI",11/19/2020,"20,555","19,934",621,3
"Oneida County, WI",11/19/2020,"17,324","16,672",652,3.8
"Outagamie County, WI",11/19/2020,"102,419","99,807","2,612",2.6
"Ozaukee County, WI",11/19/2020,"49,183","47,914","1,269",2.6
"Pepin County, WI",11/19/2020,"4,128","3,993",135,3.3
"Pierce County, WI",11/19/2020,"25,268","24,519",749,3
"Polk County, WI",11/19/2020,"24,402","23,533",869,3.6
"Portage County, WI",11/19/2020,"38,909","37,878","1,031",2.6
"Price County, WI",11/19/2020,"6,555","6,241",314,4.8
"Racine County, WI",11/19/2020,"97,594","93,873","3,721",3.8
"Richland County, WI",11/19/2020,"9,091","8,843",248,2.7
"Rock County, WI",11/19/2020,"85,334","82,325","3,009",3.5
"Rusk County, WI",11/19/2020,"6,685","6,411",274,4.1
"St. Croix County, WI",11/19/2020,"50,386","48,862","1,524",3
"Sauk County, WI",11/19/2020,"35,029","34,078",951,2.7
"Sawyer County, WI",11/19/2020,"7,791","7,450",341,4.4
"Shawano County, WI",11/19/2020,"20,803","20,212",591,2.8
"Sheboygan County, WI",11/19/2020,"61,032","59,397","1,635",2.7
"Taylor County, WI",11/19/2020,"10,801","10,490",311,2.9
"Trempealeau County, WI",11/19/2020,"15,708","15,285",423,2.7
"Vernon County, WI",11/19/2020,"15,185","14,766",419,2.8
"Vilas County, WI",11/19/2020,"9,869","9,494",375,3.8
"Walworth County, WI",11/19/2020,"58,022","56,339","1,683",2.9
"Washburn County, WI",11/19/2020,"7,765","7,491",274,3.5
"Washington County, WI",11/19/2020,"77,082","75,100","1,982",2.6
"Waukesha County, WI",11/19/2020,"224,979","218,950","6,029",2.7
"Waupaca County, WI",11/19/2020,"25,473","24,764",709,2.8
"Waushara County, WI",11/19/2020,"11,344","10,940",404,3.6
"Winnebago County, WI",11/19/2020,"91,241","88,743","2,498",2.7
"Wood County, WI",11/19/2020,"34,967","33,829","1,138",3.3
"Albany County, WY",11/19/2020,"20,984","20,388",596,2.8
"Big Horn County, WY",11/19/2020,"5,410","5,193",217,4
"Campbell County, WY",11/19/2020,"23,713","22,950",763,3.2
"Carbon County, WY",11/19/2020,"8,070","7,803",267,3.3
"Converse County, WY",11/19/2020,"9,024","8,768",256,2.8
"Crook County, WY",11/19/2020,"3,768","3,652",116,3.1
"Fremont County, WY",11/19/2020,"18,906","18,115",791,4.2
"Goshen County, WY",11/19/2020,"6,787","6,535",252,3.7
"Hot Springs County, WY",11/19/2020,"2,137","2,062",75,3.5
"Johnson County, WY",11/19/2020,"4,149","4,009",140,3.4
"Laramie County, WY",11/19/2020,"48,745","47,086","1,659",3.4
"Lincoln County, WY",11/19/2020,"8,691","8,394",297,3.4
"Natrona County, WY",11/19/2020,"39,651","38,081","1,570",4
"Niobrara County, WY",11/19/2020,"1,241","1,202",39,3.1
"Park County, WY",11/19/2020,"14,907","14,261",646,4.3
"Platte County, WY",11/19/2020,"4,515","4,375",140,3.1
"Sheridan County, WY",11/19/2020,"15,700","15,183",517,3.3
"Sublette County, WY",11/19/2020,"4,204","4,000",204,4.9
"Sweetwater County, WY",11/19/2020,"21,418","20,527",891,4.2
"Teton County, WY",11/19/2020,"13,871","13,123",748,5.4
"Uinta County, WY",11/19/2020,"9,012","8,654",358,4
"Washakie County, WY",11/19/2020,"3,974","3,840",134,3.4
"Weston County, WY",11/19/2020,"3,845","3,752",93,2.4
"Adjuntas Municipio, PR",11/19/2020,"3,994","3,445",549,13.7
"Aguada Municipio, PR",11/19/2020,"11,440","10,236","1,204",10.5
"Aguadilla Municipio, PR",11/19/2020,"13,960","12,509","1,451",10.4
"Aguas Buenas Municipio, PR",11/19/2020,"6,276","5,697",579,9.2
"Aibonito Municipio, PR",11/19/2020,"6,259","5,627",632,10.1
"Anasco Municipio, PR",11/19/2020,"8,469","7,724",745,8.8
"Arecibo Municipio, PR",11/19/2020,"23,439","21,052","2,387",10.2
"Arroyo Municipio, PR",11/19/2020,"4,459","3,836",623,14
"Barceloneta Municipio, PR",11/19/2020,"5,706","5,034",672,11.8
"Barranquitas Municipio, PR",11/19/2020,"7,151","6,528",623,8.7
"Bayamon Municipio, PR",11/19/2020,"62,470","58,336","4,134",6.6
"Cabo Rojo Municipio, PR",11/19/2020,"13,099","11,990","1,109",8.5
"Caguas Municipio, PR",11/19/2020,"45,608","42,506","3,102",6.8
"Camuy Municipio, PR",11/19/2020,"9,271","8,439",832,9
"Canovanas Municipio, PR",11/19/2020,"15,342","14,312","1,030",6.7
"Carolina Municipio, PR",11/19/2020,"58,828","55,196","3,632",6.2
"Catano Municipio, PR",11/19/2020,"7,490","6,920",570,7.6
"Cayey Municipio, PR",11/19/2020,"15,389","14,289","1,100",7.1
"Ceiba Municipio, PR",11/19/2020,"3,525","3,178",347,9.8
"Ciales Municipio, PR",11/19/2020,"3,598","3,183",415,11.5
"Cidra Municipio, PR",11/19/2020,"14,768","13,798",970,6.6
"Coamo Municipio, PR",11/19/2020,"9,622","8,450","1,172",12.2
"Comerio Municipio, PR",11/19/2020,"4,724","4,288",436,9.2
"Corozal Municipio, PR",11/19/2020,"8,635","7,835",800,9.3
"Culebra Municipio, PR",11/19/2020,866,836,30,3.5
"Dorado Municipio, PR",11/19/2020,"12,644","11,874",770,6.1
"Fajardo Municipio, PR",11/19/2020,"10,419","9,359","1,060",10.2
"Florida Municipio, PR",11/19/2020,"3,184","2,839",345,10.8
"Guanica Municipio, PR",11/19/2020,"3,958","3,354",604,15.3
"Guayama Municipio, PR",11/19/2020,"10,571","9,269","1,302",12.3
"Guayanilla Municipio, PR",11/19/2020,"4,723","4,070",653,13.8
"Guaynabo Municipio, PR",11/19/2020,"35,812","34,299","1,513",4.2
"Gurabo Municipio, PR",11/19/2020,"17,256","16,269",987,5.7
"Hatillo Municipio, PR",11/19/2020,"13,564","11,634","1,930",14.2
"Hormigueros Municipio, PR",11/19/2020,"5,137","4,699",438,8.5
"Humacao Municipio, PR",11/19/2020,"16,409","14,788","1,621",9.9
"Isabela Municipio, PR",11/19/2020,"12,011","10,926","1,085",9
"Jayuya Municipio, PR",11/19/2020,"4,108","3,548",560,13.6
"Juana Diaz Municipio, PR",11/19/2020,"14,494","13,043","1,451",10
"Juncos Municipio, PR",11/19/2020,"11,794","10,781","1,013",8.6
"Lajas Municipio, PR",11/19/2020,"5,064","4,455",609,12
"Lares Municipio, PR",11/19/2020,"7,040","6,014","1,026",14.6
"Las Marias Municipio, PR",11/19/2020,"2,524","2,209",315,12.5
"Las Piedras Municipio, PR",11/19/2020,"10,839","9,841",998,9.2
"Loiza Municipio, PR",11/19/2020,"8,133","7,437",696,8.6
"Luquillo Municipio, PR",11/19/2020,"5,917","5,349",568,9.6
"Manati Municipio, PR",11/19/2020,"11,077","10,162",915,8.3
"Maricao Municipio, PR",11/19/2020,"1,910","1,638",272,14.2
"Maunabo Municipio, PR",11/19/2020,"2,757","2,395",362,13.1
"Mayaguez Municipio, PR",11/19/2020,"20,828","18,675","2,153",10.3
"Moca Municipio, PR",11/19/2020,"10,064","9,002","1,062",10.6
"Morovis Municipio, PR",11/19/2020,"7,690","6,956",734,9.5
"Naguabo Municipio, PR",11/19/2020,"7,826","7,120",706,9
"Naranjito Municipio, PR",11/19/2020,"6,799","6,203",596,8.8
"Orocovis Municipio, PR",11/19/2020,"4,771","4,275",496,10.4
"Patillas Municipio, PR",11/19/2020,"4,086","3,482",604,14.8
"Penuelas Municipio, PR",11/19/2020,"5,690","4,877",813,14.3
"Ponce Municipio, PR",11/19/2020,"43,759","39,495","4,264",9.7
"Quebradillas Municipio, PR",11/19/2020,"5,860","5,190",670,11.4
"Rincon Municipio, PR",11/19/2020,"4,649","3,915",734,15.8
"Rio Grande Municipio, PR",11/19/2020,"16,196","15,002","1,194",7.4
"Sabana Grande Municipio, PR",11/19/2020,"5,924","5,205",719,12.1
"Salinas Municipio, PR",11/19/2020,"6,985","5,898","1,087",15.6
"San German Municipio, PR",11/19/2020,"9,358","8,341","1,017",10.9
"San Juan Municipio, PR",11/19/2020,"127,762","120,364","7,398",5.8
"San Lorenzo Municipio, PR",11/19/2020,"11,219","10,225",994,8.9
"San Sebastian Municipio, PR",11/19/2020,"10,093","8,710","1,383",13.7
"Santa Isabel Municipio, PR",11/19/2020,"8,621","7,521","1,100",12.8
"Toa Alta Municipio, PR",11/19/2020,"25,916","24,393","1,523",5.9
"Toa Baja Municipio, PR",11/19/2020,"27,965","26,259","1,706",6.1
"Trujillo Alto Municipio, PR",11/19/2020,"25,801","24,546","1,255",4.9
"Utuado Municipio, PR",11/19/2020,"6,481","5,728",753,11.6
"Vega Alta Municipio, PR",11/19/2020,"9,360","8,547",813,8.7
"Vega Baja Municipio, PR",11/19/2020,"12,754","11,496","1,258",9.9
"Vieques Municipio, PR",11/19/2020,"2,430","2,277",153,6.3
"Villalba Municipio, PR",11/19/2020,"7,221","6,085","1,136",15.7
"Yabucoa Municipio, PR",11/19/2020,"8,523","7,351","1,172",13.8
"Yauco Municipio, PR",11/19/2020,"9,625","8,240","1,385",14.4
"Autauga County, AL",12/19/2020,"26,127","25,513",614,2.4
"Baldwin County, AL",12/19/2020,"95,993","93,689","2,304",2.4
"Barbour County, AL",12/19/2020,"8,624","8,349",275,3.2
"Bibb County, AL",12/19/2020,"8,752","8,534",218,2.5
"Blount County, AL",12/19/2020,"25,508","24,930",578,2.3
"Bullock County, AL",12/19/2020,"4,757","4,588",169,3.6
"Butler County, AL",12/19/2020,"9,225","8,906",319,3.5
"Calhoun County, AL",12/19/2020,"46,320","44,930","1,390",3
"Chambers County, AL",12/19/2020,"15,830","15,449",381,2.4
"Cherokee County, AL",12/19/2020,"11,486","11,201",285,2.5
"Chilton County, AL",12/19/2020,"19,958","19,498",460,2.3
"Choctaw County, AL",12/19/2020,"4,603","4,407",196,4.3
"Clarke County, AL",12/19/2020,"7,496","7,089",407,5.4
"Clay County, AL",12/19/2020,"6,105","5,942",163,2.7
"Cleburne County, AL",12/19/2020,"5,821","5,664",157,2.7
"Coffee County, AL",12/19/2020,"21,198","20,692",506,2.4
"Colbert County, AL",12/19/2020,"23,527","22,739",788,3.3
"Conecuh County, AL",12/19/2020,"4,483","4,329",154,3.4
"Coosa County, AL",12/19/2020,"4,525","4,416",109,2.4
"Covington County, AL",12/19/2020,"15,532","15,073",459,3
"Crenshaw County, AL",12/19/2020,"6,350","6,201",149,2.3
"Cullman County, AL",12/19/2020,"38,760","37,929",831,2.1
"Dale County, AL",12/19/2020,"20,648","20,126",522,2.5
"Dallas County, AL",12/19/2020,"14,546","13,915",631,4.3
"DeKalb County, AL",12/19/2020,"30,958","30,235",723,2.3
"Elmore County, AL",12/19/2020,"37,543","36,694",849,2.3
"Escambia County, AL",12/19/2020,"14,787","14,334",453,3.1
"Etowah County, AL",12/19/2020,"42,804","41,591","1,213",2.8
"Fayette County, AL",12/19/2020,"6,551","6,378",173,2.6
"Franklin County, AL",12/19/2020,"14,712","14,364",348,2.4
"Geneva County, AL",12/19/2020,"10,983","10,716",267,2.4
"Greene County, AL",12/19/2020,"2,864","2,727",137,4.8
"Hale County, AL",12/19/2020,"6,111","5,907",204,3.3
"Henry County, AL",12/19/2020,"6,915","6,717",198,2.9
"Houston County, AL",12/19/2020,"46,329","45,167","1,162",2.5
"Jackson County, AL",12/19/2020,"23,229","22,548",681,2.9
"Jefferson County, AL",12/19/2020,"321,910","314,357","7,553",2.3
"Lamar County, AL",12/19/2020,"5,846","5,691",155,2.7
"Lauderdale County, AL",12/19/2020,"42,304","41,101","1,203",2.8
"Lawrence County, AL",12/19/2020,"14,317","13,940",377,2.6
"Lee County, AL",12/19/2020,"77,615","75,898","1,717",2.2
"Limestone County, AL",12/19/2020,"43,962","43,003",959,2.2
"Lowndes County, AL",12/19/2020,"3,557","3,384",173,4.9
"Macon County, AL",12/19/2020,"7,880","7,595",285,3.6
"Madison County, AL",12/19/2020,"185,936","182,025","3,911",2.1
"Marengo County, AL",12/19/2020,"7,617","7,388",229,3
"Marion County, AL",12/19/2020,"12,854","12,476",378,2.9
"Marshall County, AL",12/19/2020,"43,945","43,046",899,2
"Mobile County, AL",12/19/2020,"189,207","183,131","6,076",3.2
"Monroe County, AL",12/19/2020,"7,367","7,041",326,4.4
"Montgomery County, AL",12/19/2020,"105,682","102,896","2,786",2.6
"Morgan County, AL",12/19/2020,"58,527","57,250","1,277",2.2
"Perry County, AL",12/19/2020,"3,379","3,245",134,4
"Pickens County, AL",12/19/2020,"7,939","7,728",211,2.7
"Pike County, AL",12/19/2020,"15,461","15,024",437,2.8
"Randolph County, AL",12/19/2020,"9,646","9,409",237,2.5
"Russell County, AL",12/19/2020,"23,875","23,273",602,2.5
"St. Clair County, AL",12/19/2020,"40,911","39,994",917,2.2
"Shelby County, AL",12/19/2020,"117,216","115,105","2,111",1.8
"Sumter County, AL",12/19/2020,"4,874","4,688",186,3.8
"Talladega County, AL",12/19/2020,"35,719","34,675","1,044",2.9
"Tallapoosa County, AL",12/19/2020,"18,548","18,089",459,2.5
"Tuscaloosa County, AL",12/19/2020,"106,133","103,785","2,348",2.2
"Walker County, AL",12/19/2020,"25,553","24,838",715,2.8
"Washington County, AL",12/19/2020,"6,818","6,514",304,4.5
"Wilcox County, AL",12/19/2020,"2,740","2,560",180,6.6
"Winston County, AL",12/19/2020,"10,080","9,778",302,3
"Aleutians East Borough, AK",12/19/2020,"1,137","1,055",82,7.2
"Aleutians West Census Area, AK",12/19/2020,"2,521","2,370",151,6
"Anchorage Borough/municipality, AK",12/19/2020,"147,801","140,718","7,083",4.8
"Bethel Census Area, AK",12/19/2020,"7,158","6,368",790,11
"Bristol Bay Borough, AK",12/19/2020,234,205,29,12.4
"Denali Borough, AK",12/19/2020,581,466,115,19.8
"Dillingham Census Area, AK",12/19/2020,"1,584","1,452",132,8.3
"Fairbanks North Star Borough, AK",12/19/2020,"44,329","41,985","2,344",5.3
"Haines Borough, AK",12/19/2020,979,840,139,14.2
"Hoonah-Angoon Census Area, AK",12/19/2020,968,827,141,14.6
"Juneau Borough/city, AK",12/19/2020,"16,284","15,572",712,4.4
"Kenai Peninsula Borough, AK",12/19/2020,"25,535","23,643","1,892",7.4
"Ketchikan Gateway Borough, AK",12/19/2020,"6,518","6,086",432,6.6
"Kodiak Island Borough, AK",12/19/2020,"5,405","4,891",514,9.5
"Kusilvak Census Area, AK",12/19/2020,"2,644","2,210",434,16.4
"Lake and Peninsula Borough, AK",12/19/2020,573,517,56,9.8
"Matanuska-Susitna Borough, AK",12/19/2020,"47,235","44,078","3,157",6.7
"Nome Census Area, AK",12/19/2020,"4,178","3,802",376,9
"North Slope Borough, AK",12/19/2020,"3,538","3,338",200,5.7
"Northwest Arctic Borough, AK",12/19/2020,"3,058","2,673",385,12.6
"Petersburg Borough, AK",12/19/2020,"1,317","1,206",111,8.4
"Prince of Wales-Hyder Census Area, AK",12/19/2020,"2,750","2,510",240,8.7
"Sitka Borough/city, AK",12/19/2020,"4,038","3,851",187,4.6
"Skagway Municipality, AK",12/19/2020,627,504,123,19.6
"Southeast Fairbanks Census Area, AK",12/19/2020,"2,798","2,547",251,9
"Valdez-Cordova Census Area, AK",12/19/2020,"4,236","3,831",405,9.6
"Wrangell Borough/city, AK",12/19/2020,979,897,82,8.4
"Yakutat Borough/city, AK",12/19/2020,231,208,23,10
"Yukon-Koyukuk Census Area, AK",12/19/2020,"2,432","2,153",279,11.5
"Apache County, AZ",12/19/2020,"20,475","18,461","2,014",9.8
"Cochise County, AZ",12/19/2020,"51,388","48,698","2,690",5.2
"Coconino County, AZ",12/19/2020,"77,257","73,032","4,225",5.5
"Gila County, AZ",12/19/2020,"21,538","20,445","1,093",5.1
"Graham County, AZ",12/19/2020,"15,713","15,023",690,4.4
"Greenlee County, AZ",12/19/2020,"4,536","4,385",151,3.3
"La Paz County, AZ",12/19/2020,"9,661","9,151",510,5.3
"Maricopa County, AZ",12/19/2020,"2,356,629","2,272,589","84,040",3.6
"Mohave County, AZ",12/19/2020,"88,387","83,680","4,707",5.3
"Navajo County, AZ",12/19/2020,"40,889","38,046","2,843",7
"Pima County, AZ",12/19/2020,"504,172","483,909","20,263",4
"Pinal County, AZ",12/19/2020,"192,051","183,536","8,515",4.4
"Santa Cruz County, AZ",12/19/2020,"19,943","18,404","1,539",7.7
"Yavapai County, AZ",12/19/2020,"107,107","102,814","4,293",4
"Yuma County, AZ",12/19/2020,"101,964","87,383","14,581",14.3
"Arkansas County, AR",12/19/2020,"9,419","9,136",283,3
"Ashley County, AR",12/19/2020,"7,585","7,158",427,5.6
"Baxter County, AR",12/19/2020,"16,140","15,523",617,3.8
"Benton County, AR",12/19/2020,"137,770","134,463","3,307",2.4
"Boone County, AR",12/19/2020,"15,960","15,475",485,3
"Bradley County, AR",12/19/2020,"4,489","4,332",157,3.5
"Calhoun County, AR",12/19/2020,"2,441","2,345",96,3.9
"Carroll County, AR",12/19/2020,"12,565","12,203",362,2.9
"Chicot County, AR",12/19/2020,"3,259","3,041",218,6.7
