Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,AUTO THEFT,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AUTO THEFT
,LARCENY-NON VEHICLE,,,LARCENY-NON VEHICLE,AUTO THEFT
,LARCENY-NON VEHICLE,,,LARCENY-NON VEHICLE,AUTO THEFT
,LARCENY-NON VEHICLE,,,LARCENY-NON VEHICLE,AUTO THEFT
,LARCENY-NON VEHICLE,,,BURGLARY,AUTO THEFT
,LARCENY-FROM VEHICLE,,,AGG ASSAULT,LARCENY-NON VEHICLE
,LARCENY-NON VEHICLE,,,AGG ASSAULT,LARCENY-NON VEHICLE
,BURGLARY,,,ROBBERY,LARCENY-NON VEHICLE
,AGG ASSAULT,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
,BURGLARY,,,AUTO THEFT,AUTO THEFT
,ROBBERY,,,AUTO THEFT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,AUTO THEFT,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,LARCENY-FROM VEHICLE,,,LARCENY-NON VEHICLE,AGG ASSAULT
,LARCENY-NON VEHICLE,,,LARCENY-NON VEHICLE,ROBBERY
,LARCENY-NON VEHICLE,,,LARCENY-FROM VEHICLE,AGG ASSAULT
,AUTO THEFT,,,AUTO THEFT,AGG ASSAULT
,,,,LARCENY-FROM VEHICLE,BURGLARY
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
,,,,ROBBERY,LARCENY-FROM VEHICLE
,,,,AGG ASSAULT,LARCENY-FROM VEHICLE
,,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,AUTO THEFT
,,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
,,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
,,,,ROBBERY,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
,,,,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
,,,,,LARCENY-NON VEHICLE
,,,,,BURGLARY
,,,,,AGG ASSAULT
,,,,,ROBBERY
,,,,,LARCENY-NON VEHICLE
,,,,,LARCENY-FROM VEHICLE
,,,,,LARCENY-FROM VEHICLE
,,,,,LARCENY-FROM VEHICLE
,,,,,AUTO THEFT
,,,,,LARCENY-NON VEHICLE
,,,,,LARCENY-NON VEHICLE
,,,,,LARCENY-NON VEHICLE
,,,,,LARCENY-NON VEHICLE
